Date : 2023-04-22 07:27:40
Directory : c:\Users\Fire and Ice\Documents\GitHub\backend\plate_back\plate_back\src\main
Total : 136 files,  13515 codes, 1869 comments, 3192 blanks, all 18576 lines

Languages
+-----------------+------------+------------+------------+------------+------------+
| language        | files      | code       | comment    | blank      | total      |
+-----------------+------------+------------+------------+------------+------------+
| Java            |        134 |     13,471 |      1,853 |      3,169 |     18,493 |
| Java Properties |          2 |         44 |         16 |         23 |         83 |
+-----------------+------------+------------+------------+------------+------------+

Directories
+--------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                                   | files      | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| c:\Users\Fire and Ice\Documents\GitHub\backend\plate_back\plate_back\src\main\java\com\example\demo\user\model\File_rtgs__.java                 | Java            |        224 |          0 |        165 |        389 |
| c:\Users\Fire and Ice\Documents\GitHub\backend\plate_back\plate_back\src\main\java\com\example\demo\user\model\File_rtgs__ats.java                  | Java            |        223 |          0 |         60 |        283 |
| c:\Users\Fire and Ice\Documents\GitHub\backend\plate_back\plate_back\src\main\java\com\example\demo\user\model\GeneralTransactionHistory.java          | Java            |         98 |          0 |         27 |        125 |
| c:\Users\Fire and Ice\Documents\GitHub\backend\plate_back\plate_back\src\main\java\com\example\demo\user\model\MatchDetailAts.java                     | Java            |         80 |          1 |          6 |         87 |
| c:\Users\Fire and Ice\Documents\GitHub\backend\plate_back\plate_back\src\main\java\com\example\demo\user\model\MatchDetail.java                    | Java            |         80 |          1 |          7 |         88 |
| c:\Users\Fire and Ice\Documents\GitHub\backend\plate_back\plate_back\src\main\java\com\example\demo\user\model\Notification.java                       | Java            |         73 |          0 |         10 |         83 |
| c:\Users\Fire and Ice\Documents\GitHub\backend\plate_back\plate_back\src\main\java\com\example\demo\user\model\SpecificTransactionHistory.java         | Java            |         55 |          1 |          5 |         61 |
| c:\Users\Fire and Ice\Documents\GitHub\backend\plate_back\plate_back\src\main\java\com\example\demo\user\model\Transactionhistory.java                 | Java            |        200 |          1 |          5 |        206 |
| c:\Users\Fire and Ice\Documents\GitHub\backend\plate_back\plate_back\src\main\java\com\example\demo\user\notification\notificationController.java      | Java            |          3 |          0 |          3 |          6 |
| c:\Users\Fire and Ice\Documents\GitHub\backend\plate_back\plate_back\src\main\java\com\example\demo\user\notification\notificationMapper.java          | Java            |         22 |          0 |          7 |         29 |
| c:\Users\Fire and Ice\Documents\GitHub\backend\plate_back\plate_back\src\main\java\com\example\demo\user\notification\notificationModel.java           | Java            |         71 |          1 |          3 |         75 |
| c:\Users\Fire and Ice\Documents\GitHub\backend\plate_back\plate_back\src\main\java\com\example\demo\user\notification\notificationService.java         | Java            |         28 |          0 |         10 |         38 |
| c:\Users\Fire and Ice\Documents\GitHub\backend\plate_back\plate_back\src\main\java\com\example\demo\user\remark\AccountRemarkController.java           | Java            |         58 |          0 |         19 |         77 |
| c:\Users\Fire and Ice\Documents\GitHub\backend\plate_back\plate_back\src\main\java\com\example\demo\user\remark\ReplayRemarkController.java            | Java            |         22 |          0 |          7 |         29 |
| c:\Users\Fire and Ice\Documents\GitHub\backend\plate_back\plate_back\src\main\java\com\example\demo\user\remark\TotalRemark.java                       | Java            |         14 |          0 |          4 |         18 |
| c:\Users\Fire and Ice\Documents\GitHub\backend\plate_back\plate_back\src\main\java\com\example\demo\user\remark\remarkController.java                  | Java            |         34 |          0 |         10 |         44 |
| c:\Users\Fire and Ice\Documents\GitHub\backend\plate_back\plate_back\src\main\java\com\example\demo\user\remark\remarkMapper.java                      | Java            |         64 |          3 |         21 |         88 |
| c:\Users\Fire and Ice\Documents\GitHub\backend\plate_back\plate_back\src\main\java\com\example\demo\user\remark\remarkModel.java                       | Java            |        114 |          1 |          3 |        118 |
