"filename", "language", "Java", "Java Properties", "comment", "blank", "total"
"c:\Users\Fire and Ice\Documents\GitHub\backend3\src\main\java\com\example\demo\user\service\AccountService.java", "Java", 244, 0, 24, 64, 332
"c:\Users\Fire and Ice\Documents\GitHub\backend3\src\main\java\com\example\demo\user\service\AutomaticErcaService.java", "Java", 47, 0, 0, 11, 58
"c:\Users\Fire and Ice\Documents\GitHub\backend3\src\main\java\com\example\demo\user\service\BTBService.java", "Java", 1, 0, 65, 0, 66
"c:\Users\Fire and Ice\Documents\GitHub\backend3\src\main\java\com\example\demo\user\service\CurrencyService.java", "Java", 157, 0, 104, 46, 307
"c:\Users\Fire and Ice\Documents\GitHub\backend3\src\main\java\com\example\demo\user\service\DashboardService.java", "Java", 323, 0, 39, 52, 414
"c:\Users\Fire and Ice\Documents\GitHub\backend3\src\main\java\com\example\demo\user\service\ERCAService.java", "Java", 410, 0, 121, 88, 619
"c:\Users\Fire and Ice\Documents\GitHub\backend3\src\main\java\com\example\demo\user\service\FileService.java", "Java", 1200, 0, 327, 191, 1718
"c:\Users\Fire and Ice\Documents\GitHub\backend3\src\main\java\com\example\demo\user\service\IssueAccountService.java", "Java", 677, 0, 23, 87, 787
"c:\Users\Fire and Ice\Documents\GitHub\backend3\src\main\java\com\example\demo\user\service\MMSService.java", "Java", 3, 0, 0, 3, 6
"c:\Users\Fire and Ice\Documents\GitHub\backend3\src\main\java\com\example\demo\user\service\RTGSService.java", "Java", 2463, 0, 117, 713, 3293
"c:\Users\Fire and Ice\Documents\GitHub\backend3\src\main\java\com\example\demo\user\service\ReceivableService.java", "Java", 397, 0, 2, 58, 457
"c:\Users\Fire and Ice\Documents\GitHub\backend3\src\main\java\com\example\demo\user\service\UploadExcelService_issue_core.java", "Java", 201, 0, 13, 21, 235
"c:\Users\Fire and Ice\Documents\GitHub\backend3\src\main\java\com\example\demo\user\service\UploadExcelService_issue_qbs.java", "Java", 215, 0, 12, 22, 249
"c:\Users\Fire and Ice\Documents\GitHub\backend3\src\main\java\com\example\demo\user\service\UploadExcelService_payable.java", "Java", 196, 0, 27, 26, 249
"c:\Users\Fire and Ice\Documents\GitHub\backend3\src\main\java\com\example\demo\user\service\UploadExcelService_receivable.java", "Java", 212, 0, 21, 25, 258
"c:\Users\Fire and Ice\Documents\GitHub\backend3\src\main\java\com\example\demo\user\service\UploadExcelService_rtgs_awb_core.java", "Java", 256, 0, 32, 24, 312
"c:\Users\Fire and Ice\Documents\GitHub\backend3\src\main\java\com\example\demo\user\service\UploadExcelService_rtgs_nbe_ats.java", "Java", 239, 0, 48, 20, 307
"c:\Users\Fire and Ice\Documents\GitHub\backend3\src\main\java\com\example\demo\utils\ExcelHelper.java", "Java", 514, 0, 31, 62, 607
"c:\Users\Fire and Ice\Documents\GitHub\backend3\src\main\java\com\example\demo\utils\ExcelHelperIssue.java", "Java", 483, 0, 51, 55, 589
"c:\Users\Fire and Ice\Documents\GitHub\backend3\src\main\java\com\example\demo\utils\ExcelHelperPayable.java", "Java", 338, 0, 249, 65, 652
"c:\Users\Fire and Ice\Documents\GitHub\backend3\src\main\java\com\example\demo\utils\ExcelHelperReceivable.java", "Java", 337, 0, 249, 65, 651
"c:\Users\Fire and Ice\Documents\GitHub\backend3\src\main\java\com\example\demo\utils\ExcelUtils.java", "Java", 128, 0, 24, 15, 167
"c:\Users\Fire and Ice\Documents\GitHub\backend3\src\main\java\com\example\demo\utils\PDFGenerator.java", "Java", 349, 0, 20, 60, 429
"c:\Users\Fire and Ice\Documents\GitHub\backend3\src\main\java\com\example\demo\utils\PDFGeneratorIssue.java", "Java", 359, 0, 34, 60, 453
"c:\Users\Fire and Ice\Documents\GitHub\backend3\src\main\java\com\example\demo\utils\PDFGeneratorPayable.java", "Java", 256, 0, 133, 61, 450
"c:\Users\Fire and Ice\Documents\GitHub\backend3\src\main\java\com\example\demo\utils\PDFGeneratorReceivable.java", "Java", 255, 0, 131, 63, 449
"c:\Users\Fire and Ice\Documents\GitHub\backend3\src\main\java\com\example\demo\utils\QRCodeGenerator.java", "Java", 29, 0, 0, 13, 42
"c:\Users\Fire and Ice\Documents\GitHub\backend3\src\main\java\com\example\demo\utils\Utils.java", "Java", 220, 0, 13, 47, 280
"c:\Users\Fire and Ice\Documents\GitHub\backend3\src\main\resources\application.properties", "Java Properties", 0, 17, 14, 18, 49
"c:\Users\Fire and Ice\Documents\GitHub\backend3\src\main\resources\utils_\utils_.properties", "Java Properties", 0, 28, 3, 5, 36
"c:\Users\Fire and Ice\Documents\GitHub\backend3\src\test\java\com\example\demo\Angular003ApplicationTests.java", "Java", 9, 0, 0, 5, 14
"c:\Users\Fire and Ice\Documents\GitHub\backend\plate_back\plate_back\src\main\java\com\example\demo\Angular001Application.java", "Java", -14, 0, -11, -5, -30
"c:\Users\Fire and Ice\Documents\GitHub\backend\plate_back\plate_back\src\main\java\com\example\demo\Exception\AppExceptionHandler.java", "Java", -356, 0, -28, -48, -432
"c:\Users\Fire and Ice\Documents\GitHub\backend\plate_back\plate_back\src\main\java\com\example\demo\Exception\CustomAccessDeniedHandler.java", "Java", -24, 0, 0, -8, -32
"c:\Users\Fire and Ice\Documents\GitHub\backend\plate_back\plate_back\src\main\java\com\example\demo\Exception\CustomAllException.java", "Java", -7, 0, -3, -3, -13
"c:\Users\Fire and Ice\Documents\GitHub\backend\plate_back\plate_back\src\main\java\com\example\demo\Exception\CustomAuthenticationEntryPoint.java", "Java", -42, 0, -3, -14, -59
"c:\Users\Fire and Ice\Documents\GitHub\backend\plate_back\plate_back\src\main\java\com\example\demo\Exception\CustomDataNotFoundException.java", "Java", -10, 0, -3, -3, -16
